name_ru,iata_code,name_en,is_lowcost,top_destinations
Авиакон Цитотранс,ZR,Aviacon Zitotrans Air Company JSC,False,[]
Авиастар-ТУ,4B,Aviastar-TU,False,"[('BOS-MSS', 17362), ('CNM-ABQ', 16508), ('MSS-BWI', 15403), ('ABQ-CNM', 14545), ('MSS-BOS', 14206), ('DFW-CNM', 14156), ('CNM-DFW', 13314), ('AOO-PIT', 12841), ('BWI-AOO', 12554), ('AOO-BWI', 11455), ('PIT-AOO', 10582), ('BWI-MSS', 8788), ('CEZ-DEN', 7688), ('DEN-CEZ', 7508), ('CEZ-PHX', 5806), ('PHX-CEZ', 4104), ('PDX-PDT', 3409), ('MKL-ATL', 2903), ('STL-MKL', 2514), ('PDT-PDX', 2001), ('ATL-MKL', 931), ('MKL-STL', 831), ('EUG-ACV', 500), ('MIA-TPA', 445), ('TPA-MIA', 313), ('SOW-PHX', 283), ('PHX-SOW', 277), ('DEN-MCK', 35), ('MCK-DEN', 23), ('BOS-EWR', 18), ('LAS-OAK', 11), ('EWR-BOS', 7), ('TEX-DEN', 4), ('DFW-LAS', 2), ('BUR-OAK', 1)]"
Аврора,HZ,Aurora,False,"[('KHV-VVO', 73610199), ('KHV-UUS', 51381015), ('VVO-KHV', 45926830), ('UUS-KHV', 42769965), ('UUS-VVO', 39441151), ('KJA-VVO', 38450487), ('IKT-KHV', 31618822), ('KJA-KHV', 29739580), ('OVB-KHV', 26597019), ('VVO-UUS', 25380801), ('KHV-IKT', 21254887), ('VVO-KJA', 19065878), ('KHV-KJA', 17984880), ('KHV-OVB', 15654857), ('PKC-VVO', 11661305), ('KHV-PKC', 10467144), ('VVO-PKC', 9920597), ('PKC-KHV', 9733194), ('BQS-KHV', 8083638), ('KHV-BQS', 7521045), ('GDX-KHV', 7121870), ('KJA-UUS', 6403826), ('PKX-VVO', 5833713), ('BQS-VVO', 5180281), ('VVO-UUD', 5123517), ('VVO-PKX', 4664173), ('KJA-UUD', 4654242), ('UUS-KJA', 4384228), ('UUD-VVO', 4280980), ('KHV-GDX', 3865317), ('VVO-BQS', 3787188), ('UUD-KJA', 3259714), ('HTA-VVO', 3248426), ('BQS-UUS', 3170393), ('HRB-VVO', 3103503), ('KHV-HRB', 2812908), ('VVO-HRB', 2705584), ('GDX-PKC', 2513592), ('KHV-PKX', 2327466), ('UUS-BQS', 2326180), ('UUD-KHV', 2324186), ('HRB-KHV', 2291940), ('PKX-KHV', 2066892), ('VVO-HTA', 2061623), ('KHV-UUD', 1950692), ('HTA-KHV', 1792942), ('KJA-YKS', 1707763), ('NER-KHV', 1561702), ('KHV-HTA', 1546301), ('UUS-PKC', 1542135), ('PKC-UUS', 1475454), ('YKS-KJA', 1449856), ('PKC-GDX', 1371319), ('KHV-YKS', 1295118), ('KHV-NER', 1224545), ('UUS-OHH', 1104652), ('YKS-KHV', 971746), ('OHH-KHV', 834406), ('OHH-UUS', 821163), ('UUS-GVN', 813670), ('GVN-UUS', 748431), ('KXK-VVO', 689462), ('UUS-KXK', 643519), ('KHV-OHH', 583008), ('KXK-UUS', 503834), ('UUD-YKS', 499880), ('BQS-YKS', 482779), ('YKS-UUD', 461296), ('MJZ-KHV', 460822), ('YKS-BQS', 445486), ('VVO-KXK', 422794), ('KHV-MJZ', 402385), ('UUS-HRB', 376350), ('GVN-VVO', 372965), ('KHV-NLI', 369664), ('HRB-UUS', 368928), ('NLI-KHV', 251470), ('YKS-HTA', 250980), ('VVO-GVN', 250020), ('HTA-YKS', 235726), ('UUS-ITU', 207060), ('NLI-VVO', 202648), ('UUS-DEE', 184827), ('TYD-KHV', 183039), ('ITU-UUS', 147872), ('VVO-NLI', 132118), ('BQS-KXK', 132035), ('KHV-TYD', 115503), ('KXK-BQS', 107702), ('BQS-TYD', 101117), ('DEE-UUS', 91179), ('TYD-BQS', 79038), ('KHV-DYR', 78292), ('DYR-KHV', 76793), ('DYR-PKC', 59159), ('ITU-VVO', 55958), ('VVO-ITU', 50222), ('UUS-EKS', 31021), ('EKS-UUS', 29746), ('UUD-ХЖР', 27114)]"
Азимут,A4,Azimuth,False,"[('MRV-AER', 425092887), ('AER-MRV', 411927449), ('AER-IST', 302061467), ('MRV-IST', 280643712), ('VKO-EVN', 206952099), ('MRV-EVN', 188909236), ('IST-AER', 188554567), ('IST-MRV', 157105834), ('EVN-VKO', 130261968), ('VKO-IST', 125133539), ('EVN-MRV', 121591886), ('IST-VKO', 118370032), ('AER-EVN', 105047243), ('UFA-MRV', 84067906), ('MRV-UFA', 71207954), ('MRV-GYD', 67285518), ('EVN-AER', 62545178), ('MRV-MCX', 61512882), ('AER-MCX', 59106702), ('MCX-MRV', 58136114), ('VKO-PKV', 54556152), ('VKO-TBS', 49884608), ('PKV-VKO', 45832862), ('AER-GYD', 44185381), ('MCX-AER', 42638700), ('AER-AYT', 39832021), ('KUF-MRV', 38245664), ('TBS-VKO', 37758673), ('GYD-MRV', 36710198), ('LED-MRV', 36498460), ('PKV-AER', 36473461), ('MRV-KUF', 30334991), ('AYT-AER', 29664101), ('PEE-MRV', 29142752), ('MRV-AYT', 28830061), ('MRV-LED', 28186192), ('VKO-LED', 27868443), ('GYD-AER', 25588117), ('CEK-MRV', 25143407), ('MRV-PEE', 24393879), ('AER-PKV', 23795591), ('LED-VKO', 23519429), ('VOG-MRV', 22702627), ('AYT-MRV', 21609553), ('AER-DWC', 20555434), ('MRV-CEK', 20350141), ('MRV-VOG', 18889992), ('LED-KLF', 17742778), ('VKO-ROV', 17334299), ('AER-TLV', 16242427), ('MRV-TAS', 16217500), ('ASF-MRV', 16079667), ('KLF-MRV', 16036185), ('MRV-KLF', 15213667), ('KLF-LED', 14788059), ('MRV-ASF', 14344846), ('TJM-MRV', 14180426), ('MRV-TJM', 13691090), ('PEE-MCX', 12576454), ('GSV-MRV', 12219346), ('MRV-DXB', 12213159), ('KLF-AER', 12064592), ('ROV-VKO', 12007621), ('MRV-DWC', 11915248), ('PEZ-MRV', 11293470), ('NBC-MRV', 11124818), ('MRV-NBC', 11100601), ('TLV-AER', 10920520), ('DWC-AER', 10779802), ('MRV-TLV', 10677835), ('UFA-OMS', 9882668), ('PKV-KGD', 9774180), ('AER-KLF', 9710403), ('VKO-CEK', 9687059), ('MCX-EVN', 9576026), ('OMS-UFA', 9519688), ('ROV-AER', 8966164), ('DXB-MRV', 8870823), ('TAS-MRV', 8833838), ('MRV-ALA', 8454313), ('KJA-UFA', 8446008), ('UFA-EVN', 8313212), ('MRV-GSV', 8155257), ('UFA-KJA', 8082796), ('TLV-MRV', 7827408), ('AER-TBS', 7780268), ('MRV-PEZ', 7745909), ('ALA-MRV', 7496832), ('DWC-MRV', 7469608), ('KGD-PKV', 7458284), ('MCX-PEE', 6947113), ('MRV-TBS', 6819723), ('UFA-ASF', 6663149), ('ASF-GYD', 6575162), ('NJC-MRV', 6527020), ('CEK-VKO', 6493568), ('VKO-NQZ', 6426977), ('TBS-MRV', 6331188), ('UFA-VOG', 6291308), ('AER-ROV', 6163623)]"
Azur Air,ZF,AZUR Air,False,"[('VKO-AYT', 74068919), ('AYT-VKO', 61703163), ('VKO-AER', 18904747), ('AER-VKO', 14314265), ('VKO-HKT', 8497027), ('HKT-VKO', 4592355), ('AYT-KZN', 2643743), ('KZN-AYT', 1801242), ('VKO-HRG', 1591364), ('VKO-SSH', 1581070), ('AYT-SVX', 1568888), ('AER-AYT', 1502116), ('SVX-AYT', 1322110), ('OVB-AYT', 1293470), ('AYT-OVB', 1292390), ('VKO-OVB', 1221241), ('KZN-AER', 1192329), ('SSH-VKO', 1189846), ('HRG-VKO', 1124251), ('AYT-AER', 1071978), ('OVB-VKO', 1059028), ('AYT-UFA', 1006202), ('AYT-GOJ', 978452), ('VKO-DLM', 969534), ('UFA-AYT', 922152), ('AYT-KUF', 888119), ('KUF-AYT', 874351), ('VKO-BJV', 867661), ('VKO-MLE', 791165), ('DLM-VKO', 752396), ('SVX-AER', 736545), ('AER-KZN', 721532), ('LED-AER', 688139), ('BJV-VKO', 617057), ('GOJ-AYT', 588296), ('VKO-DWC', 553856), ('VKO-CMB', 506091), ('AER-SVX', 500538), ('DWC-DME', 490142), ('MLE-VKO', 444637), ('VKO-KUF', 441547), ('AER-LED', 399533), ('KUF-VKO', 364246), ('VKO-EVN', 357828), ('DWC-VKO', 342346), ('KJA-HKT', 342235), ('OVB-HKT', 338908), ('IKT-HKT', 329868), ('DME-DWC', 324195), ('VKO-MRV', 308834), ('VKO-KZN', 285837), ('VKO-UTP', 283565), ('MRV-VKO', 254927), ('EVN-VKO', 250826), ('CMB-VKO', 227902), ('HKT-OVB', 204388), ('AYT-MRV', 196695), ('UTP-VKO', 190051), ('MRV-AYT', 185801), ('AYT-KJA', 169214), ('SVX-DLM', 158924), ('AYT-LED', 156196), ('VKO-TAS', 135963), ('KJA-AYT', 134057), ('VKO-KJA', 114371), ('HKT-KJA', 113343), ('LED-AYT', 108932), ('DLM-SVX', 106334), ('LED-VKO', 102775), ('AER-HKT', 96134), ('HKT-IKT', 94218), ('VVO-HKT', 84912), ('OVB-UTP', 77630), ('VKO-GOI', 70359), ('VKO-CEK', 61794), ('KHV-HKT', 60825), ('VKO-TOF', 57783), ('TOF-VKO', 54836), ('KUF-AER', 54788), ('AYT-SVO', 54623), ('VKO-RKT', 51148), ('GOI-VKO', 50781), ('VKO-VVO', 50128), ('KJA-VKO', 50104), ('HKT-KHV', 46748), ('OMS-HKT', 46434), ('HKT-AER', 45269), ('CEK-VKO', 43994), ('OVB-CMB', 41377), ('SVX-HKT', 37604), ('PEE-HKT', 37579), ('UFA-HKT', 37397), ('DLM-UFA', 36888), ('UTP-OVB', 35484), ('HKT-VVO', 34580), ('LED-SSH', 34251), ('HRG-LED', 31917), ('KUF-CMB', 31858), ('KJA-UTP', 30688), ('SVO-AYT', 29148)]"
"I fly, Ай флай",F7,iFly,False,"[('VKO-AER', 128289569), ('AER-VKO', 104209379), ('VKO-KGD', 5138085), ('KGD-VKO', 3595622), ('LED-AER', 2316198), ('AER-LED', 1936923), ('AER-VVO', 1679777), ('VKO-OVB', 1391129), ('LED-KHV', 1293786), ('OVB-VKO', 1158084), ('AER-KHV', 1129333), ('VKO-KJA', 1105655), ('VKO-HRG', 1064282), ('KJA-VKO', 1011382), ('KHV-LED', 897459), ('HRG-VKO', 822772), ('KHV-AER', 793422), ('VKO-SSH', 792887), ('VVO-AER', 775261), ('SSH-VKO', 734434), ('VKO-UFA', 695218), ('VKO-MRV', 545667), ('VKO-HTA', 512540), ('HTA-VKO', 364311), ('LED-HTA', 293477), ('VKO-KZN', 241715), ('MRV-KHV', 239696), ('UFA-VKO', 236074), ('HTA-LED', 222538), ('AER-HTA', 213789), ('HTA-AER', 210554), ('KZN-VKO', 154486), ('KHV-MRV', 124687), ('VKO-VVO', 111438), ('VVO-VKO', 74526), ('VKO-SVX', 68980), ('KHV-VKO', 62247), ('BQS-AER', 58833), ('AER-UUD', 58483), ('MRV-VVO', 57090), ('UUD-AER', 52994), ('VKO-PKC', 47912), ('AER-BQS', 43103), ('VVO-MRV', 32082), ('MRV-VKO', 31617), ('VKO-LED', 26371), ('UUS-VKO', 24767), ('YKS-AER', 24200), ('PKC-VKO', 24169), ('AER-YKS', 24087), ('VKO-UUS', 22440), ('HRG-LED', 2777), ('HRG-UFA', 2432), ('HRG-KZN', 1702), ('LED-HRG', 1377), ('SVX-HRG', 1263), ('OVB-HRG', 1141), ('HRG-OVB', 1134), ('HRG-SVX', 987), ('HRG-KUF', 970), ('UFA-HRG', 726), ('KZN-HRG', 408), ('KUF-HRG', 397), ('DXB-VKO', 99), ('SVO-SSH', 77), ('KLW-KTN', 14), ('AYT-VKO', 10), ('VKO-VTE', 5), ('VKO-AYT', 3), ('VTE-VKO', 2), ('KHV-YKS', 1), ('KTN-KLW', 1), ('YKS-VKO', 1)]"
Алроса,6R,ALROSA,False,"[('VKO-OVB', 107122863), ('OVB-VKO', 98654650), ('VKO-LED', 89506906), ('LED-VKO', 68313353), ('VKO-AER', 34735117), ('AER-VKO', 19108582), ('OVB-MJZ', 8962394), ('MJZ-OVB', 8259544), ('VKO-MJZ', 8081159), ('MJZ-VKO', 4652039), ('MJZ-IKT', 4604457), ('OVB-AER', 3101329), ('IKT-MJZ', 2538900), ('MJZ-YKS', 2303298), ('AER-OVB', 2167864), ('YKS-MJZ', 1782578), ('VKO-KUF', 1599488), ('VKO-SVX', 1429131), ('VKO-KRR', 1302237), ('KUF-VKO', 877927), ('KRR-VKO', 742326), ('VKO-IKT', 634647), ('IKT-VKO', 601345), ('OVB-PYJ', 588786), ('KUF-OVB', 584440), ('OVB-KUF', 452663), ('OVB-OMS', 427902), ('VKO-MRV', 400607), ('PYJ-OVB', 358912), ('IKT-OVB', 325156), ('OVB-IKT', 295962), ('VKO-UFA', 280254), ('DME-OVB', 274635), ('MRV-VKO', 255374), ('VKO-REN', 252855), ('OMS-OVB', 228510), ('PYJ-MJZ', 213652), ('UFA-VKO', 205588), ('MJZ-PYJ', 182254), ('PYJ-VKO', 167052), ('OVB-ULK', 161112), ('VKO-SIP', 155180), ('VKO-PYJ', 138928), ('ULK-OVB', 121548), ('REN-VKO', 114938), ('SIP-VKO', 113566), ('OVB-KRR', 111462), ('IKT-REN', 75363), ('KRR-OVB', 71098), ('IKT-PYJ', 70297), ('VKO-KGD', 68089), ('OVB-LED', 67374), ('VKO-GDZ', 64632), ('OMS-VKO', 54133), ('IKT-OMS', 53667), ('REN-IKT', 48594), ('MJZ-LED', 46742), ('TLK-OVB', 46685), ('OVB-TLK', 43512), ('LED-MJZ', 42644), ('SVX-VKO', 41238), ('PYJ-IKT', 41115), ('KGD-VKO', 35410), ('LED-KRR', 29649), ('GDZ-VKO', 29155), ('LED-OVB', 28436), ('VKO-YKS', 28158), ('VKO-AAQ', 22457), ('MJZ-ULK', 22415), ('KRR-LED', 17824), ('MJZ-DME', 15919), ('YKS-VKO', 15238), ('OVB-MCX', 14939), ('SVX-MJZ', 14792), ('AAQ-VKO', 13584), ('ULK-MJZ', 11502), ('VKO-TLK', 10393), ('IKT-YKS', 10027), ('OMS-MJZ', 9959), ('OVB-ROV', 9768), ('LED-YKS', 8361), ('TLK-VKO', 7881), ('AER-YKS', 6900), ('ROV-OVB', 6497), ('YKS-LED', 5772), ('OVB-NER', 5365), ('MJZ-KRR', 5248), ('VKO-GRV', 4879), ('YKS-AER', 4855), ('KJA-KRR', 4636), ('VKO-NER', 4562), ('OVB-YKS', 4455), ('KRR-KJA', 4251), ('KUF-MJZ', 3905), ('MJZ-OMS', 3763), ('NER-YKS', 3706), ('LED-AAQ', 3611), ('KRR-MJZ', 3458), ('AAQ-LED', 2926), ('YKS-IKT', 2528)]"
Ангара,2G,Angara Airlines,False,"[('BTK-IKT', 4037213), ('IKT-BTK', 2383360), ('IKT-HTA', 1925574), ('BQS-KHV', 1833978), ('KHV-BQS', 1750634), ('HTA-IKT', 1529733), ('UUD-НЖГ', 531107), ('НЖГ-UUD', 351753), ('IKT-НЖГ', 339419), ('НЖГ-IKT', 329476), ('OHH-KHV', 251040), ('IKT-UKX', 177466), ('HTA-KHV', 174506), ('IKT-ODO', 163014), ('KHV-HTA', 157554), ('KXK-BQS', 134409), ('KHV-OHH', 119194), ('ODO-IKT', 117342), ('BQS-KXK', 108229), ('UUS-KXK', 107187), ('UKX-IKT', 105522), ('KXK-UUS', 86036), ('IKT-TYD', 83461), ('TYD-IKT', 57511), ('VVO-KXK', 47346), ('TYD-KHV', 45550), ('KHV-TYD', 43699), ('BQS-TYD', 42782), ('KXK-VVO', 38279), ('UUD-ТИО', 35207), ('HTA-ЧАР', 30430), ('TYD-BQS', 28783), ('ТИО-UUD', 25033), ('IKT-ULK', 24147), ('ЧАР-HTA', 23174), ('IKT-KCK', 13077), ('KCK-IKT', 10532), ('ULK-IKT', 10289), ('KHV-NGK', 8177), ('KHV-EKS', 7282), ('NGK-KHV', 7241), ('EKS-KHV', 6881), ('BQS-ЗЕЯ', 3928), ('KHV-ЗЕЯ', 3550), ('ЗЕЯ-KHV', 3124), ('ЗЕЯ-BQS', 2928), ('IKT-ТИО', 2924), ('IKT-ERG', 2090), ('IKT-ЧАР', 1813), ('IKT-OLZ', 1698), ('ТИО-IKT', 1581), ('ERG-IKT', 1369), ('ЧАР-IKT', 1303), ('IKT-МАМ', 1179), ('МАМ-IKT', 797), ('OLZ-IKT', 349), ('IKT-MJZ', 58), ('IKT-ЕГЧ', 36), ('ЕГЧ-IKT', 19)]"
Атран,V8,Atran,False,[]
Аэрофлот — Российские авиалинии,SU,Aeroflot,False,"[('SVO-LED', 9107242595), ('LED-SVO', 7802057695), ('SVO-AER', 5460990072), ('AER-SVO', 4282020720), ('SVO-SVX', 1967632393), ('SVX-SVO', 1904393221), ('SVO-KZN', 1835382800), ('KZN-SVO', 1467706254), ('SVO-MRV', 1173471623), ('SVO-KUF', 1071076702), ('SVO-IST', 971790640), ('MRV-SVO', 927945175), ('SVO-UFA', 898532857), ('KUF-SVO', 897018022), ('UFA-SVO', 849526783), ('IST-SVO', 744158231), ('SVO-OVB', 589823702), ('OVB-SVO', 546161755), ('SVO-KJA', 508202866), ('KJA-SVO', 454244657), ('SVO-KGD', 441864106), ('KGD-SVO', 387343575), ('SVO-EVN', 384726562), ('SVO-MSQ', 355771791), ('SVO-MCX', 353747132), ('PEE-SVO', 336870488), ('SVO-AYT', 333645286), ('SVO-PEE', 319169878), ('TJM-SVO', 304056628), ('SVO-CEK', 298236629), ('MCX-SVO', 286509132), ('EVN-SVO', 281318954), ('SVO-TJM', 272719910), ('CEK-SVO', 258705110), ('SVO-GYD', 252682705), ('SVO-GOJ', 244414083), ('AYT-SVO', 241725393), ('MSQ-SVO', 232063835), ('SVO-IKT', 231312193), ('LED-AER', 220021309), ('IKT-SVO', 206514956), ('SVO-TAS', 195657362), ('SVO-VOG', 195429859), ('GOJ-SVO', 179434202), ('AER-LED', 176551201), ('SGC-SVO', 168130352), ('GYD-SVO', 167031594), ('LED-VKO', 157818494), ('SVO-OMS', 156117113), ('SVO-SGC', 155144784), ('VKO-LED', 150594376), ('VOG-SVO', 141273801), ('SVO-DXB', 135567285), ('AER-IST', 135093755), ('TAS-SVO', 133718304), ('SVO-FRU', 121296047), ('SVO-VVO', 112915171), ('OMS-SVO', 112563161), ('DXB-SVO', 107182869), ('SVO-MMK', 101410733), ('MMK-SVO', 98399886), ('KZN-AER', 95779363), ('SVO-REN', 89901228), ('SVO-GSV', 89699347), ('FRU-SVO', 89583091), ('IST-AER', 89445286), ('SVO-NQZ', 88597149), ('ARH-SVO', 87205899), ('VVO-SVO', 84928300), ('SVO-ARH', 84200187), ('SVO-ALA', 82175388), ('SVO-ASF', 78355987), ('SVX-AER', 78124998), ('NQZ-SVO', 77974504), ('ALA-SVO', 76545005), ('SVO-KHV', 72869672), ('SVO-GRV', 70646835), ('REN-SVO', 70289062), ('SVO-HKT', 70253754), ('AER-KZN', 70129079), ('ASF-SVO', 69571743), ('NBC-SVO', 68762056), ('GSV-SVO', 63585261), ('AER-SVX', 62203842), ('SVO-NBC', 59688796), ('KHV-SVO', 59108794), ('SVO-BKK', 58582053), ('AER-AYT', 51812884), ('UFA-AER', 51393574), ('KUF-AER', 51338631), ('HKT-SVO', 49310097), ('SVO-DEL', 47052887), ('SVO-NJC', 46966329), ('LED-IST', 42618639), ('BKK-SVO', 41199889), ('SVX-MRV', 39877878), ('SVO-TOF', 39346777), ('AER-KUF', 38176619), ('SVO-STW', 36181561), ('DEL-SVO', 36178194)]"
