name,name_en,code,lat,lon,has_flightable_airport,time_zone
Смирных,Smirnykh,СМХ,49.75,142.833328,True,Asia/Sakhalin
Верхневилюйск,Verhnevilyuisk,VHV,63.45667,120.26444,True,Asia/Yakutsk
Аян,Ajan,АЯН,56.4302788,138.04973,True,Asia/Vladivostok
Северо-Курильск,Severo-Kurilsk,СКР,50.6663874710616,156.12252280213875,True,Asia/Magadan
Усинск,Usinsk,USK,65.95,57.4,True,Europe/Moscow
Радужный,Raduzhnyi,RAT,62.5,77.0,False,Asia/Yekaterinburg
Максимовка,Maximovka,МКИ,46.0933342,137.89333,False,Asia/Vladivostok
Итуруп,Iturup Island,BVV,44.928646,147.61337,False,Asia/Sakhalin
Аянка,Ajanka,АЯК,63.7166672,167.58333,False,Asia/Kamchatka
Мужи,Muzhi,МУЖ,65.398056,64.698611,True,Asia/Yekaterinburg
Николаевск-на-Амуре,Nikolaevsk-na-Amure,NLI,53.15,140.73333,True,Asia/Vladivostok
Ноглики,Nogliki,NGK,51.8,143.16667,True,Asia/Sakhalin
Эвенск,Evensk,SWV,61.924444,159.231111,True,Asia/Magadan
Барнаул,Barnaul,BAX,53.361088,83.547646,True,Asia/Barnaul
Тверь,Tver,KLD,56.916668,35.916668,False,Europe/Moscow
Благовещенск,Blagoveschensk,BQS,50.416668,127.4,True,Asia/Yakutsk
Советский,Sovetsky,OVS,61.33209,63.601887,True,Asia/Yekaterinburg
Сунтар,Suntar,SUY,62.166667,117.633333,True,Asia/Yakutsk
Нерюнгри,Neryungri,NER,56.65,124.6,True,Asia/Yakutsk
Бор,Bor,TGP,61.59,89.97945,True,Asia/Krasnoyarsk
Дальнереченск,Dalnerechensk,DLR,45.876667,133.735,True,Asia/Vladivostok
Мирюга,Miriuga,МГА,60.2999992,99.51667,False,Asia/Krasnoyarsk
Ленск,Lensk,ULK,60.72248,114.83152,True,Asia/Yakutsk
Полигус,Poligus,ПГУ,62.0,94.66666,False,Asia/Krasnoyarsk
Нефтекамск,Neftekamsk,NEF,56.1,54.35,False,Asia/Yekaterinburg
Сочи,Adler/Sochi,AER,43.44884,39.941105,True,Europe/Moscow
Мама,Mama,МАМ,58.2999992,112.88333,True,Asia/Irkutsk
Ессей,Essey,ЕСИ,68.4616699,102.18166,False,Asia/Krasnoyarsk
Оленёк,Olenyok,ONK,68.5,112.433333,True,Asia/Yakutsk
Ставрополь,Stavropol,STW,45.333332,42.00833,True,Europe/Moscow
Омск,Omsk,OMS,54.957455,73.3167,True,Asia/Omsk
Певек,Pevek,PWE,69.78333,170.6,True,Asia/Anadyr
Терскол,terskol,ТЕЬ,43.256191,42.514451,False,Europe/Moscow
Дальнегорск,Dalnegorsk,DHG,44.56667,135.61667,True,Asia/Vladivostok
