name,name_en,IATA_code,lat,lon,has_flightable_airport,time_zone,population_rating
Санкт-Петербург,Saint Petersburg,LED,59.939039,30.315785,True,Europe/Moscow,1
Новосибирск,Novosibirsk,OVB,55.00901,82.667,True,Asia/Novosibirsk,2
Екатеринбург,Yekaterinburg,SVX,56.750336,60.804314,True,Asia/Yekaterinburg,3
Казань,Kazan,KZN,55.79083,49.11444,True,Europe/Moscow,4
Нижний Новгород,Nizhniy Novgorod,GOJ,56.218613,43.789764,True,Europe/Moscow,5
Челябинск,Chelyabinsk,CEK,55.297504,61.51235,True,Asia/Yekaterinburg,6
Красноярск,Krasnojarsk,KJA,56.18113,92.48286,True,Asia/Krasnoyarsk,7
Самара,Samara,KUF,53.50782,50.14742,True,Europe/Samara,8
Уфа,Ufa,UFA,54.565403,55.884544,True,Asia/Yekaterinburg,9
Ростов-на-Дону,Rostov,ROV,47.25,39.75,True,Europe/Moscow,10
Омск,Omsk,OMS,54.957455,73.3167,True,Asia/Omsk,11
Краснодар,Krasnodar,KRR,45.034138,39.139004,True,Europe/Moscow,12
Воронеж,Voronezh,VOZ,51.812355,39.226997,True,Europe/Moscow,13
Пермь,Perm,PEE,57.920025,56.01918,True,Asia/Yekaterinburg,14
Волгоград,Volgograd,VOG,48.792,44.354805,True,Europe/Moscow,15
Саратов,Saratov,RTW,51.566666,46.066666,True,Europe/Samara,16
Тюмень,Tyumen,TJM,57.181828,65.35024,True,Asia/Yekaterinburg,17
Барнаул,Barnaul,BAX,53.361088,83.547646,True,Asia/Barnaul,19
Ижевск,Izhevsk,IJK,56.833332,53.466667,True,Europe/Samara,20
Махачкала,Makhachkala,MCX,42.82095,47.65611,True,Europe/Moscow,21
Хабаровск,Khabarovsk,KHV,48.524563,135.16861,True,Asia/Vladivostok,22
Ульяновск,Ulyanovsk,ULY,54.3214798,48.3856504,True,Europe/Samara,23
Иркутск,Irkutsk,IKT,52.273308,104.35607,True,Asia/Irkutsk,24
Владивосток,Vladivostok,VVO,43.378574,132.14075,True,Asia/Vladivostok,25
Ярославль,Yaroslavl,IAR,57.61667,39.88333,True,Europe/Moscow,26
Кемерово,Kemerovo,KEJ,55.280567,86.11623,True,Asia/Novokuznetsk,27
Томск,Tomsk,TOF,56.5,84.96667,True,Asia/Novokuznetsk,28
Ставрополь,Stavropol,STW,45.333332,42.00833,True,Europe/Moscow,31
Оренбург,Orenburg,REN,51.79105,55.4567,True,Asia/Yekaterinburg,32
Новокузнецк,Novokuznetsk,NOZ,53.75,87.166664,True,Asia/Novokuznetsk,33
Пенза,Penza,PEZ,53.11852,45.02305,True,Europe/Moscow,36
Чебоксары,Cheboksary,CSY,56.13333,47.266666,True,Europe/Moscow,37
Липецк,Lipetsk,LPK,52.61667,39.6,True,Europe/Moscow,38
Калининград,Kaliningrad,KGD,54.882656,20.586645,True,Europe/Kaliningrad,39
Астрахань,Astrakhan,ASF,46.2877,47.999977,True,Europe/Samara,40
