Маркет,Домен,Язык по умолчанию (Список поддерживаемых языков),Другие поддерживаемые языки,Дефолтная валюта,Другие поддерживаемые валюты
ru,aviasales.ru,ru,—,RUB,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
ua,aviasales.ua,ua,"ru, en",UAH,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UZS, ZAR"
by,aviasales.by,ru,—,BYN,"USD, EUR, AMD, AZN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
kz,aviasales.kz,ru,kz,KZT,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
uz,aviasales.uz,ru,uz (latin),UZS,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, ZAR"
az,aviasales.az,az,"ru, en",AZN,"USD, EUR, AMD, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
ge,aviasales.ge,en,ge,GEL,"USD, EUR, AMD, AZN, BYN, CNY, GBP, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
tj,aviasales.tj,ru,"tg, en",TJS,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TRY, TZS, UAH, UZS, ZAR"
kg,aviasales.kg,ru,"kg, en",KGS,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
am,aviasales.am,am,ru,AMD,"USD, EUR, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
it,aviasales.it,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
fr,aviasales.fr,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
pl,aviasales.pl,en,ru,PLN,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
us,aviasales.com,en,ru,USD,"EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
in,aviasales.in,en,ru,INR,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
tz,aviasales.co.tz,en,ru,TZS,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, UAH, UZS, ZAR"
md,aviasales.md,ru,"en, ua",MDL,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
ro,aviasales.ro,en,ru,RON,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
ke,aviasales.co.ke,en,ru,KES,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
za,aviasales.co.za,en,ru,ZAR,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS"
at,aviasales.at,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
il,aviasales.co.il,en,ru,ILS,"USD, EUR, AMD, AZN, BYN, CNY, GBP, GEL, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
gr,aviasales.gr,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
es,aviasales.es,es,"en, ru",EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
pt,aviasales.pt,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
nl,aviasales.nl,en,ru,EUR,"USD, AMD, AZN, BYN, CNY, GBP, GEL, ILS, INR, KES, KGS, KZT, MDL, PLN, RON, RUB, THB, TJS, TRY, TZS, UAH, UZS, ZAR"
