,city
0,Москва
1,Санкт-Петербург
2,Новосибирск
3,Екатеринбург
4,Казань
5,Нижний Новгород
6,Челябинск
7,Красноярск
8,Самара
9,Уфа
10,Ростов-на-Дону
11,Омск
12,Краснодар
13,Воронеж
14,Пермь
15,Волгоград
16,Саратов
17,Тюмень
18,Тольятти
19,Барнаул
20,Ижевск
21,Махачкала
22,Хабаровск
23,Ульяновск
24,Иркутск
25,Владивосток
26,Ярославль
27,Кемерово
28,Томск
29,Набережные Челны
30,Севастополь
31,Ставрополь
32,Оренбург
33,Новокузнецк
34,Рязань
35,Балашиха
36,Пенза
37,Чебоксары
38,Липецк
39,Калининград
40,Астрахань
41,Тула
42,Киров
43,Сочи
44,Курск
45,Улан-Удэ
46,Тверь
47,Магнитогорск
48,Сургут
49,Брянск
50,Иваново
51,Якутск
52,Владимир
53,Симферополь
54,Белгород
55,Нижний Тагил
56,Калуга
57,Чита
58,Грозный
59,Волжский
60,Смоленск
61,Подольск
62,Саранск
63,Вологда
64,Курган
65,Череповец
66,Орёл
67,Архангельск
68,Владикавказ
69,Нижневартовск
70,Йошкар-Ола
71,Стерлитамак
72,Мурманск
73,Кострома
74,Новороссийск
75,Тамбов
76,Химки
77,Мытищи
78,Нальчик
79,Таганрог
80,Нижнекамск
81,Благовещенск
82,Комсомольск-на-Амуре
83,Петрозаводск
84,Королёв
85,Шахты
86,Энгельс
87,Великий Новгород
88,Люберцы
89,Братск
90,Старый Оскол
91,Ангарск
92,Сыктывкар
93,Дзержинск
94,Псков
95,Орск
96,Красногорск
97,Армавир
98,Абакан
99,Балаково
100,Бийск
101,Южно-Сахалинск
102,Одинцово
103,Уссурийск
104,Прокопьевск
105,Рыбинск
106,Норильск
107,Волгодонск
108,Сызрань
109,Петропавловск-Камчатский
110,Каменск-Уральский
111,Новочеркасск
112,Альметьевск
113,Златоуст
114,Северодвинск
115,Хасавюрт
116,Керчь
117,Домодедово
118,Салават
119,Миасс
120,Копейск
121,Пятигорск
122,Электросталь
123,Майкоп
124,Находка
125,Березники
126,Коломна
127,Щёлково
128,Серпухов
129,Ковров
130,Нефтекамск
131,Кисловодск
132,Батайск
133,Рубцовск
134,Обнинск
135,Кызыл
136,Дербент
137,Нефтеюганск
138,Назрань
139,Каспийск
140,Долгопрудный
141,Новочебоксарск
142,Новомосковск
143,Ессентуки
144,Невинномысск
145,Октябрьский
146,Раменское
147,Первоуральск
148,Михайловск
149,Реутов
150,Черкесск
151,Жуковский
152,Димитровград
153,Пушкино
154,Артём
155,Камышин
156,Евпатория
157,Муром
158,Ханты-Мансийск
159,Новый Уренгой
160,Северск
161,Орехово-Зуево
162,Арзамас
163,Ногинск
164,Новошахтинск
165,Бердск
166,Элиста
167,Сергиев Посад
168,Видное
169,Ачинск
170,Тобольск
171,Ноябрьск
172,Елец
173,Зеленодольск
174,Новокуйбышевск
175,Воткинск
176,Железногорск
177,Междуреченск
178,Воскресенск
179,Гатчина
180,Серов
181,Саров
182,Ленинск-Кузнецкий
183,Сарапул
184,Магадан
185,Мичуринск
186,Соликамск
187,Мурино
188,Чехов
189,Клин
190,Бузулук
191,Глазов
192,Канск
193,Великие Луки
194,Каменск-Шахтинский
195,Губкин
196,Киселёвск
197,Ейск
198,Ивантеевка
199,Лобня
200,Азов
201,Анапа
202,Бугульма
