Бренд,ИНН,ИАТА,Код в России
2-й Архангельский объединённый авиаотряд,2901125778,,АЧ
223-й лётный отряд,5050017062,,ЮЦ
224-й лётный отряд,7718763393,,ЮИ
Абакан Эир,2455024143,,АЭ
Аватар-Авиа,7536185155,,
"Dexter, Sanret",7706563054,,ДТ
Авиа-Май,3811042173,,
Авиа-Сибирь,5402488436,,ЩБ
Авиабаза,5503192058,,
Авиакон Цитотранс,6658039390,ZR,РЦ
Авиалесоохрана,5038008142,,
Авиалифт Владивосток,2502018358,,ДВ
Авиапатруль-ДВ,2724203136,,ФХ
Авиарегион,2801267183,,
Авиасервис,1624446694,,ТБ
,,,ПК
АвиаСервис,2465191746,,
Авиаскан,5040162663,,
Авиастар-ТУ,7705326371,4B,ЦТ
Авиатор АУЦ,1660135366,,
Авиатрек,7203410894,,
Авиатрейдинг,5047245220,,
Авиахим-Юг,2635803318,,
АвиаТИС,5047160471,,ИС
Авиационный поиск и спасение,6230079983,,
Авиация Колымы,4909128950,,
АСТ,2373021600,,
АвисКом,2466280075,,
Аврора,6501161401,HZ,ИЕ
Агат,1901098610,,ГТ
Агат авиакомпания,7811520420,,
Агрофирма «Киц»,2614020010,,
Аеротерра,6167109951,,
Азимут,2312218415,A4,
Азимут,7710494484,,
Azur Air,2459007621,ZF,КЮ
Аист,1101167216,,
Аист-М,7721107948,,
"I fly, Ай флай",7728695093,F7,ФЛ
,10511250247,,
Алроса,7805004321,6R,ЯМ
Алтай Хеликоптерс,400014985,,
АлтайАвиа,411160184,,
Алтайская авиабаза,411139760,,
Алтайские авиалинии,2222853317,,БШ
АльянсДжет,7810353110,,
АлЮр плюс,3666225612,,
Амур,2724170498,,АП
Амурская авиабаза,2801118992,,ЦХ
,,,ПЯ
,,,БЦ
Ангара,3811089799,2G,ИК
,4.10201E+11,,
Аннушка,2629004726,,СФ
Арго,8602099841,,ТЯ
Арктика,2465340765,,
Арт Авиа,7728852028,,АИ
Арток,4707048491,,
АСК МЧС России,7731293789,,
Атлас,7802918285,,
Атран,5009053648,V8,ЮЛ
