,name,name_en,code,lat,lon,has_flightable_airport,time_zone
0,Оха,Okha,OHH,53.516666,142.88333,True,Asia/Srednekolymsk
1,Владивосток,Vladivostok,VVO,43.378574,132.14075,True,Asia/Vladivostok
2,Нефтекамск,Neftekamsk,NEF,56.1,54.35,False,Asia/Yekaterinburg
3,Кислокан,Kislokan,КСЮ,63.5933342,103.95,False,Asia/Krasnoyarsk
4,Уренгой,Urengoy,UEN,65.96,78.38,False,Asia/Yekaterinburg
5,Сургут,Surgut,SGC,61.339916,73.40953,True,Asia/Yekaterinburg
6,Белорецк,Beloreck,BCX,53.933334,58.333332,False,Asia/Yekaterinburg
7,Чегдомын,Chegdomyn,ЧГД,51.1377792,132.93611,True,Asia/Vladivostok
8,Толька,Tolka,ТЬК,63.9869461,82.05139,True,Asia/Yekaterinburg
9,Маган,Magan,GYG,62.10399,129.55028,True,Asia/Yakutsk
10,Череповец,Cherepovets,CEE,59.283333,38.066666,True,Europe/Moscow
11,Колекъеган,Kolekjegan,КЛК,61.7283325,79.11833,False,Asia/Yekaterinburg
12,Брянск,Bryansk,BZK,53.266666,34.333332,True,Europe/Moscow
13,Победа,Pobeda,ПБЕ,49.043335,134.31334,False,Asia/Vladivostok
14,Челябинск,Chelyabinsk,CEK,55.297504,61.51235,True,Asia/Yekaterinburg
15,Хаилино,Khailino,ХАИ,60.9524994,166.83611,False,Asia/Kamchatka
16,Усть-Цильма,Ust-Tsilma,UTS,65.433334,52.2,True,Europe/Moscow
17,Тура,Tura,GOY,64.2758331,100.21639,True,Asia/Krasnoyarsk
18,Сунтар,Suntar,SUY,62.166667,117.633333,True,Asia/Yakutsk
19,Усть-Мая,Ust-Maya,UMS,60.41528,134.54722,True,Asia/Yakutsk
20,Ямбург,Yamburg,ЯМБ,67.9883347,75.09695,True,Asia/Yekaterinburg
21,Суломай,Sulomay,САЙ,62.30749,91.012394,False,Asia/Krasnoyarsk
22,Кепервеем,Keperveyem,KPW,67.84056,166.13917,True,Asia/Kamchatka
23,Диксон,Dikson,DKS,73.51667,80.36667,True,Asia/Krasnoyarsk
24,Терскол,terskol,ТЕЬ,43.256191,42.514451,False,Europe/Moscow
25,Братск,Bratsk,BTK,56.36667,101.816666,True,Asia/Irkutsk
26,Омск,Omsk,OMS,54.957455,73.3167,True,Asia/Omsk
27,Слаутное,Slautnoe,СЛУ,63.1752777,167.97667,False,Asia/Kamchatka
