INFO | Начало парсинга: Санкт-Петербург, день 1
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 1
INFO | Дата выбрана с первого раза: 1.06.2026
INFO | Найдено поездов для Санкт-Петербург на 01.06.2026: 46
INFO | Успешно спарсено строк: 166 для Санкт-Петербург, 1.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 2
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 2
INFO | Дата выбрана с первого раза: 2.06.2026
INFO | Найдено поездов для Санкт-Петербург на 02.06.2026: 45
INFO | Успешно спарсено строк: 129 для Санкт-Петербург, 2.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 3
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 3
INFO | Дата выбрана с первого раза: 3.06.2026
INFO | Найдено поездов для Санкт-Петербург на 03.06.2026: 45
INFO | Успешно спарсено строк: 143 для Санкт-Петербург, 3.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 4
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 4
INFO | Дата выбрана с первого раза: 4.06.2026
INFO | Найдено поездов для Санкт-Петербург на 04.06.2026: 46
INFO | Успешно спарсено строк: 157 для Санкт-Петербург, 4.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 5
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 5
INFO | Дата выбрана с первого раза: 5.06.2026
INFO | Найдено поездов для Санкт-Петербург на 05.06.2026: 47
INFO | Успешно спарсено строк: 168 для Санкт-Петербург, 5.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 6
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 6
INFO | Дата выбрана с первого раза: 6.06.2026
INFO | Найдено поездов для Санкт-Петербург на 06.06.2026: 48
INFO | Успешно спарсено строк: 182 для Санкт-Петербург, 6.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 7
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 7
INFO | Дата выбрана с первого раза: 7.06.2026
INFO | Найдено поездов для Санкт-Петербург на 07.06.2026: 48
INFO | Успешно спарсено строк: 183 для Санкт-Петербург, 7.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 8
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 8
INFO | Дата выбрана с первого раза: 8.06.2026
INFO | Найдено поездов для Санкт-Петербург на 08.06.2026: 46
INFO | Успешно спарсено строк: 169 для Санкт-Петербург, 8.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 9
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 9
INFO | Дата выбрана с первого раза: 9.06.2026
INFO | Найдено поездов для Санкт-Петербург на 09.06.2026: 43
INFO | Успешно спарсено строк: 169 для Санкт-Петербург, 9.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 10
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 10
INFO | Дата выбрана с первого раза: 10.06.2026
INFO | Найдено поездов для Санкт-Петербург на 10.06.2026: 43
INFO | Успешно спарсено строк: 163 для Санкт-Петербург, 10.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 11
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 11
INFO | Дата выбрана с первого раза: 11.06.2026
INFO | Найдено поездов для Санкт-Петербург на 11.06.2026: 41
INFO | Успешно спарсено строк: 128 для Санкт-Петербург, 11.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 12
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 12
INFO | Дата выбрана с первого раза: 12.06.2026
INFO | Найдено поездов для Санкт-Петербург на 12.06.2026: 43
INFO | Успешно спарсено строк: 142 для Санкт-Петербург, 12.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 13
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 13
INFO | Дата выбрана с первого раза: 13.06.2026
INFO | Найдено поездов для Санкт-Петербург на 13.06.2026: 46
INFO | Успешно спарсено строк: 180 для Санкт-Петербург, 13.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 14
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 14
INFO | Дата выбрана с первого раза: 14.06.2026
INFO | Найдено поездов для Санкт-Петербург на 14.06.2026: 45
INFO | Успешно спарсено строк: 166 для Санкт-Петербург, 14.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 15
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 15
INFO | Дата выбрана с первого раза: 15.06.2026
INFO | Найдено поездов для Санкт-Петербург на 15.06.2026: 44
INFO | Успешно спарсено строк: 170 для Санкт-Петербург, 15.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 16
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 16
INFO | Дата выбрана с первого раза: 16.06.2026
INFO | Найдено поездов для Санкт-Петербург на 16.06.2026: 42
INFO | Успешно спарсено строк: 168 для Санкт-Петербург, 16.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 17
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 17
INFO | Дата выбрана с первого раза: 17.06.2026
INFO | Найдено поездов для Санкт-Петербург на 17.06.2026: 43
INFO | Успешно спарсено строк: 173 для Санкт-Петербург, 17.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 18
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 18
INFO | Дата выбрана с первого раза: 18.06.2026
INFO | Найдено поездов для Санкт-Петербург на 18.06.2026: 44
INFO | Успешно спарсено строк: 170 для Санкт-Петербург, 18.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 19
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 19
INFO | Дата выбрана с первого раза: 19.06.2026
INFO | Найдено поездов для Санкт-Петербург на 19.06.2026: 46
INFO | Успешно спарсено строк: 166 для Санкт-Петербург, 19.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 20
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 20
INFO | Дата выбрана с первого раза: 20.06.2026
INFO | Найдено поездов для Санкт-Петербург на 20.06.2026: 46
INFO | Успешно спарсено строк: 181 для Санкт-Петербург, 20.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 21
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 21
INFO | Дата выбрана с первого раза: 21.06.2026
INFO | Найдено поездов для Санкт-Петербург на 21.06.2026: 47
INFO | Успешно спарсено строк: 184 для Санкт-Петербург, 21.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 22
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 22
INFO | Дата выбрана с первого раза: 22.06.2026
INFO | Найдено поездов для Санкт-Петербург на 22.06.2026: 44
INFO | Успешно спарсено строк: 170 для Санкт-Петербург, 22.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 23
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 23
INFO | Дата выбрана с первого раза: 23.06.2026
INFO | Найдено поездов для Санкт-Петербург на 23.06.2026: 44
INFO | Успешно спарсено строк: 166 для Санкт-Петербург, 23.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 24
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 24
INFO | Дата выбрана с первого раза: 24.06.2026
INFO | Найдено поездов для Санкт-Петербург на 24.06.2026: 44
INFO | Успешно спарсено строк: 171 для Санкт-Петербург, 24.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 25
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 25
INFO | Дата выбрана с первого раза: 25.06.2026
INFO | Найдено поездов для Санкт-Петербург на 25.06.2026: 44
INFO | Успешно спарсено строк: 174 для Санкт-Петербург, 25.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 26
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 26
INFO | Дата выбрана с первого раза: 26.06.2026
INFO | Найдено поездов для Санкт-Петербург на 26.06.2026: 46
INFO | Успешно спарсено строк: 174 для Санкт-Петербург, 26.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 27
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 27
INFO | Дата выбрана с первого раза: 27.06.2026
INFO | Найдено поездов для Санкт-Петербург на 27.06.2026: 46
INFO | Успешно спарсено строк: 182 для Санкт-Петербург, 27.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 28
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 28
INFO | Дата выбрана с первого раза: 28.06.2026
INFO | Найдено поездов для Санкт-Петербург на 28.06.2026: 46
INFO | Успешно спарсено строк: 181 для Санкт-Петербург, 28.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 29
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 29
INFO | Дата выбрана с первого раза: 29.06.2026
INFO | Найдено поездов для Санкт-Петербург на 29.06.2026: 44
INFO | Успешно спарсено строк: 172 для Санкт-Петербург, 29.06.2026
INFO | Начало парсинга: Санкт-Петербург, день 30
INFO | Запуск браузера
INFO | Открыт сайт для Санкт-Петербург, день 30
INFO | Дата выбрана с первого раза: 30.06.2026
INFO | Найдено поездов для Санкт-Петербург на 30.06.2026: 43
INFO | Успешно спарсено строк: 166 для Санкт-Петербург, 30.06.2026
INFO | Начало парсинга: Новосибирск, день 1
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 1
INFO | Дата выбрана с первого раза: 1.06.2026
INFO | Найдено поездов для Новосибирск на 01.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 1.06.2026
INFO | Начало парсинга: Новосибирск, день 2
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 2
INFO | Дата выбрана с первого раза: 2.06.2026
INFO | Найдено поездов для Новосибирск на 02.06.2026: 5
INFO | Успешно спарсено строк: 9 для Новосибирск, 2.06.2026
INFO | Начало парсинга: Новосибирск, день 3
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 3
INFO | Дата выбрана с первого раза: 3.06.2026
INFO | Найдено поездов для Новосибирск на 03.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 3.06.2026
INFO | Начало парсинга: Новосибирск, день 4
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 4
INFO | Дата выбрана с первого раза: 4.06.2026
INFO | Найдено поездов для Новосибирск на 04.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 4.06.2026
INFO | Начало парсинга: Новосибирск, день 5
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 5
INFO | Дата выбрана с первого раза: 5.06.2026
INFO | Найдено поездов для Новосибирск на 05.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 5.06.2026
INFO | Начало парсинга: Новосибирск, день 6
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 6
INFO | Дата выбрана с первого раза: 6.06.2026
INFO | Найдено поездов для Новосибирск на 06.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 6.06.2026
INFO | Начало парсинга: Новосибирск, день 7
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 7
INFO | Дата выбрана с первого раза: 7.06.2026
INFO | Найдено поездов для Новосибирск на 07.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 7.06.2026
INFO | Начало парсинга: Новосибирск, день 8
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 8
INFO | Дата выбрана с первого раза: 8.06.2026
INFO | Найдено поездов для Новосибирск на 08.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 8.06.2026
INFO | Начало парсинга: Новосибирск, день 9
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 9
INFO | Дата выбрана с первого раза: 9.06.2026
INFO | Найдено поездов для Новосибирск на 09.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 9.06.2026
INFO | Начало парсинга: Новосибирск, день 10
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 10
INFO | Дата выбрана с первого раза: 10.06.2026
INFO | Найдено поездов для Новосибирск на 10.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 10.06.2026
INFO | Начало парсинга: Новосибирск, день 11
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 11
INFO | Дата выбрана с первого раза: 11.06.2026
INFO | Найдено поездов для Новосибирск на 11.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 11.06.2026
INFO | Начало парсинга: Новосибирск, день 12
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 12
INFO | Дата выбрана с первого раза: 12.06.2026
INFO | Найдено поездов для Новосибирск на 12.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 12.06.2026
INFO | Начало парсинга: Новосибирск, день 13
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 13
INFO | Дата выбрана с первого раза: 13.06.2026
INFO | Найдено поездов для Новосибирск на 13.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 13.06.2026
INFO | Начало парсинга: Новосибирск, день 14
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 14
INFO | Дата выбрана с первого раза: 14.06.2026
INFO | Найдено поездов для Новосибирск на 14.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 14.06.2026
INFO | Начало парсинга: Новосибирск, день 15
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 15
INFO | Дата выбрана с первого раза: 15.06.2026
INFO | Найдено поездов для Новосибирск на 15.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 15.06.2026
INFO | Начало парсинга: Новосибирск, день 16
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 16
INFO | Дата выбрана с первого раза: 16.06.2026
INFO | Найдено поездов для Новосибирск на 16.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 16.06.2026
INFO | Начало парсинга: Новосибирск, день 17
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 17
INFO | Дата выбрана с первого раза: 17.06.2026
INFO | Найдено поездов для Новосибирск на 17.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 17.06.2026
INFO | Начало парсинга: Новосибирск, день 18
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 18
INFO | Дата выбрана с первого раза: 18.06.2026
INFO | Найдено поездов для Новосибирск на 18.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 18.06.2026
INFO | Начало парсинга: Новосибирск, день 19
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 19
INFO | Дата выбрана с первого раза: 19.06.2026
INFO | Найдено поездов для Новосибирск на 19.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 19.06.2026
INFO | Начало парсинга: Новосибирск, день 20
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 20
INFO | Дата выбрана с первого раза: 20.06.2026
INFO | Найдено поездов для Новосибирск на 20.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 20.06.2026
INFO | Начало парсинга: Новосибирск, день 21
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 21
INFO | Дата выбрана с первого раза: 21.06.2026
INFO | Найдено поездов для Новосибирск на 21.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 21.06.2026
INFO | Начало парсинга: Новосибирск, день 22
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 22
INFO | Дата выбрана с первого раза: 22.06.2026
INFO | Найдено поездов для Новосибирск на 22.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 22.06.2026
INFO | Начало парсинга: Новосибирск, день 23
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 23
INFO | Дата выбрана с первого раза: 23.06.2026
INFO | Найдено поездов для Новосибирск на 23.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 23.06.2026
INFO | Начало парсинга: Новосибирск, день 24
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 24
